Title,Author,Language Level
The Importance of Being Earnest and Other Plays,Oscar Wilde,level_K
A Midsummer Night's Dream,William Shakespeare,level_K
Night,Elie Wiesel,level_K
Brave New World,Aldous Huxley,level_K
101 Great American Poems,Various authors,level_L
Songs of Innocence and Songs of Experience,William Blake,level_L
The World's Greatest Short Stories,Various authors,level_L
The Awakening and Selected Stories of Kate Chopin,Kate Chopin,level_L
Lord of the Flies,William Golding,level_L
The Waste Land and Other Poems,T.S. Eliot,level_L
Macbeth,William Shakespeare,level_L
Uncle Tom's Cabin,Harriet Beecher Stowe,level_L
Death of a Salesman,Arthur Miller,level_L
The French Lieutenant's Woman,John Fowles,level_L
